Peak,Energy,FWHM,RiseTime,Centroid,label
0.43152195,0.16590926,1.0,0.4,0.5032801,0
0.59685713,0.28594634,1.0,0.32278833,0.52305734,0
0.3,0.11321134,0.9052383,0.14591785,0.5510033,0
0.3173156,0.1,0.6197519,0.05,0.5508498,0
0.4298544,0.15382838,1.0,0.27898735,0.4872426,0
0.87939733,0.5121934,0.91509765,0.3873782,0.45415238,0
0.72874165,0.2906328,0.7838471,0.3304013,0.5484148,0
0.40852576,0.1271433,0.9628082,0.21024194,0.5993545,0
0.60271746,0.20204724,0.9599163,0.4,0.53688425,0
0.49101073,0.21236663,0.8904714,0.4,0.5779747,0
0.3,0.1,0.9988112,0.3384169,0.52845484,0
0.3,0.1,1.0,0.2358978,0.49764022,0
0.3,0.1,0.86050385,0.17253232,0.5935358,0
0.43224826,0.12281729,1.0,0.27966717,0.5324693,0
0.48163867,0.25375396,1.0,0.073876716,0.49110597,0
0.3,0.1,1.0,0.4,0.5005066,0
0.66269636,0.33430052,0.9685908,0.25179747,0.59565514,0
0.457424,0.15152627,1.0,0.33268625,0.48715952,0
0.41724843,0.18116184,0.9382218,0.05,0.4861414,0
0.3843585,0.154795,0.9951326,0.38053194,0.49870682,0
0.7677953,0.33529836,0.68134004,0.4,0.5256973,0
0.4122434,0.14869824,0.9075363,0.4,0.5068243,0
0.4136554,0.14974205,1.0,0.4,0.59808826,0
0.59358007,0.2859723,0.93625206,0.35158813,0.55417097,0
0.44985855,0.27301562,1.0,0.25234994,0.46672854,0
0.6064334,0.29233447,0.93721765,0.2446338,0.45376524,0
0.46739823,0.21488315,1.0,0.36558834,0.59148204,0
0.4632511,0.1480658,0.7811724,0.19993861,0.47195545,0
0.690113,0.28813684,0.88912886,0.17001346,0.4502202,0
0.43766695,0.30308977,0.85647494,0.31295618,0.5267652,0
0.3,0.1,0.9386519,0.25658193,0.55088073,0
0.3,0.1,1.0,0.4,0.47463846,0
0.46132657,0.16073981,0.8245605,0.12638937,0.54894215,0
0.3,0.1,0.71244234,0.18251276,0.5033646,0
0.5997111,0.24981415,0.93091327,0.32394665,0.5372261,0
0.5056373,0.20027295,1.0,0.1794105,0.564078,0
0.38784876,0.10832255,1.0,0.26046947,0.5602207,0
