Time(s),CH1(V)
0,0.04918417
1,0.04931776
2,0.05077316
3,0.04669927
4,0.032119695
5,0.024701132
6,0.020819584
7,0.017590202
8,0.008598958
9,0.007448359
10,0.003119527
11,0.0029898302
12,0.0086118635
13,0.008666043
14,0.006828544
15,-0.0010651153
16,-0.0035259672
17,0.01213264
18,0.028489789
19,0.03332048
20,0.040167082
21,0.032139897
22,0.024331637
23,0.029368708
24,0.023250265
25,0.015492982
26,0.0061281137
27,-0.0046626613
28,0.00029495478
29,-0.0023011935
30,0.00087163504
31,0.0027881477
32,-0.0030703207
33,-0.0028832385
34,0.009804678
35,0.0116587905
36,0.014713547
37,0.01781455
38,0.017545946
39,0.018337626
40,0.019033296
41,0.023064688
42,0.02974421
43,0.021271644
44,0.015345178
45,0.016310636
46,0.024564665
47,0.026421567
48,0.023190469
49,0.014169698
50,0.01205523
51,0.023492573
52,0.032071356
53,0.025872104
54,0.010924714
55,-1.902287e-05
56,0.0045920527
57,0.018560894
58,0.018496104
59,0.01629216
60,0.013368323
61,0.01134792
62,0.018537221
63,0.025550872
64,0.026128635
65,0.02456833
66,0.0114584295
67,0.0072590834
68,0.009200143
69,0.005148986
70,0.0006510139
71,-0.0053492556
72,-0.014011314
73,-0.010986936
74,-0.006386851
75,-0.007195148
76,-0.0037138327
77,-0.0057811453
78,-0.0022161445
79,0.004914427
80,0.017780794
81,0.025909876
82,0.024889726
83,0.013783745
84,0.009157059
85,0.013068509
86,0.015624251
87,0.010369276
88,0.0026199413
89,-0.0037180039
90,0.0011581271
91,0.010030775
92,0.013728226
93,0.010553912
94,0.008102248
95,0.008525107
96,0.017904354
97,0.020069951
98,0.012707515
99,0.0089675635
100,0.04918417
101,0.04931776
102,0.05077316
103,0.04669927
104,0.032119695
105,0.024701132
106,0.020819584
107,0.017590202
108,0.008598958
109,0.007448359
110,0.003119527
111,0.0029898302
112,0.0086118635
113,0.008666043
114,0.006828544
115,-0.0010651153
116,-0.0035259672
117,0.01213264
118,0.028489789
119,0.03332048
120,0.040167082
121,0.032139897
122,0.024331637
123,0.029368708
124,0.023250265
125,0.015492982
126,0.0061281137
127,-0.0046626613
128,0.00029495478
129,-0.0023011935
130,0.00087163504
131,0.0027881477
132,-0.0030703207
133,-0.0028832385
134,0.009804678
135,0.0116587905
136,0.014713547
137,0.01781455
138,0.017545946
139,0.018337626
140,0.019033296
141,0.023064688
142,0.02974421
143,0.021271644
144,0.015345178
145,0.016310636
146,0.024564665
147,0.026421567
148,0.023190469
149,0.014169698
150,0.01205523
151,0.023492573
152,0.032071356
153,0.025872104
154,0.010924714
155,-1.902287e-05
156,0.0045920527
157,0.018560894
158,0.018496104
159,0.01629216
160,0.013368323
161,0.01134792
162,0.018537221
163,0.025550872
164,0.026128635
165,0.02456833
166,0.0114584295
167,0.0072590834
168,0.009200143
169,0.005148986
170,0.0006510139
171,-0.0053492556
172,-0.014011314
173,-0.010986936
174,-0.006386851
175,-0.007195148
176,-0.0037138327
177,-0.0057811453
178,-0.0022161445
179,0.004914427
180,0.017780794
181,0.025909876
182,0.024889726
183,0.013783745
184,0.009157059
185,0.013068509
186,0.015624251
187,0.010369276
188,0.0026199413
189,-0.0037180039
190,0.0011581271
191,0.010030775
192,0.013728226
193,0.010553912
194,0.008102248
195,0.008525107
196,0.017904354
197,0.020069951
198,0.012707515
199,0.0089675635
200,0.0039284197
201,0.004204063
202,0.0105912415
203,0.014201888
204,0.011611813
205,0.008131826
206,0.0037442457
207,0.0107335085
208,0.014126591
209,0.014725524
210,0.019259937
211,0.021436544
212,0.023763046
213,0.032532252
214,0.036581002
215,0.03985054
216,0.044522222
217,0.052415937
218,0.060411375
219,0.0686369
220,0.07063573
221,0.067246385
222,0.059570324
223,0.056498155
224,0.0610351
225,0.06632686
226,0.06698231
227,0.06200901
228,0.05659854
229,0.052279945
230,0.052846354
231,0.061040346
232,0.06622494
233,0.06890882
234,0.07527187
235,0.083740905
236,0.088317096
237,0.07937312
238,0.06649711
239,0.05470565
240,0.051018376
