Time(s),CH1(V)
-5.0,0.0048327134
-5.0,-0.0037687945
-5.0,-0.008227171
-5.0,-0.0035943408
-5.0,0.005862345
-5.0,0.010127274
-5.0,0.013093326
-5.0,0.015365492
-5.0,0.0032608567
-5.0,0.010931316
-5.0,0.008376655
-4.9999,0.015096999
-4.9999,0.009820995
-4.9999,0.0063889707
-4.9999,-0.0024510066
-4.9999,0.00012762842
-4.9999,0.008689545
-4.9999,0.010707527
-4.9999,0.009901788
-4.9999,0.0022871883
-4.9999,-0.003103532
-4.9999,0.0014744085
-4.9999,0.0037773317
-4.9999,0.011384334
-4.9999,0.007750984
-4.9999,0.006965966
-4.9999,-0.0038588392
-4.9999,-0.0020017868
-4.9999,-0.0021803887
-4.9999,0.0017382894
-4.9999,0.004581463
-4.9998,-0.0014460892
-4.9998,-0.004169447
-4.9998,-0.0039192503
-4.9998,0.0011825919
-4.9998,-5.221882e-05
-4.9998,-0.0017870498
-4.9998,-0.0006413415
-4.9998,0.0012068702
-4.9998,0.0115010915
-4.9998,0.012537737
-4.9998,0.013320802
-4.9998,0.0041765645
-4.9998,0.0046043983
-4.9998,0.0024522992
-4.9998,0.0062187444
-4.9998,0.00475084
-4.9998,0.0037215382
-4.9998,-0.0036460124
-4.9998,-0.0036369374
-4.9998,-0.0007394535
-4.9997,0.0015838381
-4.9997,-0.00076118595
-4.9997,0.0035497635
-4.9997,-0.0033410424
-4.9997,-0.00010286796
-4.9997,-0.0005589461
-4.9997,0.0005960066
-4.9997,-0.0049737934
-4.9997,-0.0034494495
-4.9997,-0.007361772
-4.9997,-0.0074877837
-4.9997,-0.0022149018
-4.9997,-0.0005123678
-4.9997,-0.006195614
-4.9997,-0.0049677882
-4.9997,-0.0042027067
-4.9997,0.003150836
-4.9997,0.0073328875
-4.9997,0.0054104975
-4.9997,-0.0019047747
-4.9996,-0.004055142
-4.9996,0.0024384814
-4.9996,0.0046722065
-4.9996,0.009862183
-4.9996,0.0068339775
-4.9996,0.0052107917
-4.9996,0.006233068
-4.9996,0.005835864
-4.9996,0.0068742926
-4.9996,0.0017829147
-4.9996,-0.0007106261
-4.9996,-0.0006403098
-4.9996,0.0034556407
-4.9996,0.006029685
-4.9996,0.007293408
-4.9996,0.0034059368
-4.9996,-0.006292125
-4.9996,-0.009624745
-4.9996,-0.005303699
-4.9996,-0.0003089846
-4.9995,0.0011866818
-4.9995,-0.0005262828
-4.9995,-0.0033447375
-4.9995,-0.006878949
-4.9995,0.0015958715
-4.9995,0.0010430183
-4.9995,0.0044042985
-4.9995,0.0018922145
-4.9995,0.0019411623
-4.9995,0.0048327134
-4.9995,-0.0037687945
-4.9995,-0.008227171
-4.9995,-0.0035943408
-4.9995,0.005862345
-4.9995,0.010127274
-4.9995,0.013093326
-4.9995,0.015365492
-4.9995,0.0032608567
-4.9995,0.010931316
-4.9995,0.008376655
-4.9994,0.015096999
-4.9994,0.009820995
-4.9994,0.0063889707
-4.9994,-0.0024510066
-4.9994,0.00012762842
-4.9994,0.008689545
-4.9994,0.010707527
-4.9994,0.009901788
-4.9994,0.0022871883
-4.9994,-0.003103532
-4.9994,0.0014744085
-4.9994,0.0037773317
-4.9994,0.011384334
-4.9994,0.007750984
-4.9994,0.006965966
-4.9994,-0.0038588392
-4.9994,-0.0020017868
-4.9994,-0.0021803887
-4.9994,0.0017382894
-4.9994,0.004581463
-4.9993,-0.0014460892
-4.9993,-0.004169447
-4.9993,-0.0039192503
-4.9993,0.0011825919
-4.9993,-5.221882e-05
-4.9993,-0.0017870498
-4.9993,-0.0006413415
-4.9993,0.0012068702
-4.9993,0.0115010915
-4.9993,0.012537737
-4.9993,0.013320802
-4.9993,0.0041765645
-4.9993,0.0046043983
-4.9993,0.0024522992
-4.9993,0.0062187444
-4.9993,0.00475084
-4.9993,0.0037215382
-4.9993,-0.0036460124
-4.9993,-0.0036369374
-4.9993,-0.0007394535
-4.9992,0.0015838381
-4.9992,-0.00076118595
-4.9992,0.0035497635
-4.9992,-0.0033410424
-4.9992,-0.00010286796
-4.9992,-0.0005589461
-4.9992,0.0005960066
-4.9992,-0.0049737934
-4.9992,-0.0034494495
-4.9992,-0.007361772
-4.9992,-0.0074877837
-4.9992,-0.0022149018
-4.9992,-0.0005123678
-4.9992,-0.006195614
-4.9992,-0.0049677882
-4.9992,-0.0042027067
-4.9992,0.003150836
-4.9992,0.0073328875
-4.9992,0.0054104975
-4.9992,-0.0019047747
-4.9991,-0.004055142
-4.9991,0.0024384814
-4.9991,0.0046722065
-4.9991,0.009862183
-4.9991,0.0068339775
-4.9991,0.0052107917
-4.9991,0.006233068
-4.9991,0.005835864
-4.9991,0.0068742926
-4.9991,0.0017829147
-4.9991,-0.0007106261
-4.9991,-0.0006403098
-4.9991,0.0034556407
-4.9991,0.006029685
-4.9991,0.007293408
-4.9991,0.0034059368
-4.9991,-0.006292125
-4.9991,-0.009624745
-4.9991,-0.005303699
-4.9991,-0.0003089846
-4.999,0.0011866818
-4.999,-0.0005262828
-4.999,-0.0033447375
-4.999,-0.006878949
-4.999,0.0015958715
-4.999,0.0010430183
-4.999,0.0044042985
-4.999,0.0018922145
-4.999,0.0019411623
-4.999,0.00042296396
-4.999,0.0031801076
-4.999,0.00808778
-4.999,0.0026573276
-4.999,0.0036924903
-4.999,0.0007990073
-4.999,0.0061945864
-4.999,0.0042263456
-4.999,0.004143755
-4.999,-0.00070268736
-4.999,-0.003842142
-4.9989,0.004364
-4.9989,0.008440926
-4.9989,0.008534613
-4.9989,0.00521165
-4.9989,-0.0014233732
-4.9989,-0.0016673775
-4.9989,-0.0022288437
-4.9989,0.004833944
-4.9989,-0.0012795621
-4.9989,0.0006685272
-4.9989,-0.0052894647
-4.9989,-0.002021635
-4.9989,-0.0010361802
-4.9989,0.0022084347
-4.9989,0.00078997965
-4.9989,-0.0021838981
-4.9989,-0.0030976029
-4.9989,-0.00041919615
-4.9989,0.0037888791
-4.9989,0.0044576363
-4.9988,0.0009999918
-4.9988,-0.0005750329
-4.9988,-0.001474996
-4.9988,0.005586305
-4.9988,0.0061658937
-4.9988,0.0059615765
-4.9988,-0.004223241
-4.9988,-0.0032180715
-4.9988,-0.0044672736
-4.9988,0.0012916906
-4.9988,0.0030991468
-4.9988,-0.0017022892
-4.9988,-0.003786743
-4.9988,-0.0024130195
-4.9988,0.0018063929
-4.9988,0.0035165087
-4.9988,0.0008051532
-4.9988,0.00056063215
-4.9988,-0.009367284
-4.9988,-7.9529564e-05
-4.9987,9.486045e-05
-4.9987,0.006577414
-4.9987,0.0021100554
-4.9987,0.0018526369
-4.9987,-0.0037437093
-4.9987,-0.0023508156
-4.9987,0.0021931678
-4.9987,0.0023692865
-4.9987,-0.0011615413
-4.9987,-0.0035930532
-4.9987,-0.009134788
-4.9987,-0.0011559775
-4.9987,0.0007254781
-4.9987,0.007400722
-4.9987,0.00059604814
-4.9987,-0.0009514678
-4.9987,-0.0028611175
-4.9987,-0.00074799405
-4.9987,-0.0017396595
-4.9987,0.002501801
-4.9986,-0.0009876566
-4.9986,0.0016973556
-4.9986,0.0015619887
-4.9986,0.0031396037
-4.9986,-0.0004897495
-4.9986,-0.0041914573
-4.9986,-0.004027367
-4.9986,-0.0058754818
-4.9986,-0.0024382703
-4.9986,0.004321387
-4.9986,0.0011312924
