Time(s),CH1(V)
0,-132
1,-132
2,-132
3,-132
4,-132
5,-132
6,-132
7,-132
8,-132
9,-132
10,-140
11,-132
12,-148
13,-148
14,-148
15,-148
16,-148
17,-156
18,-156
19,-156
20,-156
21,-156
22,-164
23,-164
24,-179
25,-179
26,-179
27,-187
28,-195
29,-195
30,-179
31,-171
32,-164
33,-164
34,-156
35,-164
36,-171
37,-179
38,-179
39,-171
40,-156
41,-156
42,-148
43,-140
44,-140
45,-132
46,-132
47,-125
48,-125
49,-125
50,-125
51,-125
52,-125
53,-117
54,-117
55,-117
56,-117
57,-101
58,-101
59,-101
60,-93
61,-93
62,-93
63,-85
64,-78
65,-78
66,-70
67,-70
68,-62
69,-54
70,-62
71,-54
72,-39
73,-39
74,-39
75,-39
76,-39
77,-31
78,-31
79,-31
80,-39
81,-31
82,-23
83,-23
84,-23
85,-23
86,-15
87,-23
88,-7
89,-15
90,-15
91,-15
92,-7
93,-15
94,-15
95,-7
96,-7
97,1
98,8
99,16
100,24
101,24
102,24
103,16
104,16
105,24
106,16
107,16
108,8
109,16
110,8
111,24
112,16
113,24
114,16
115,24
116,24
117,16
118,24
119,24
120,32
121,32
122,32
123,40
124,40
125,40
126,32
127,32
128,32
129,24
130,24
131,24
132,24
133,32
134,32
135,32
136,40
137,40
138,47
139,47
140,55
141,47
142,40
143,47
144,47
145,40
146,40
147,47
148,40
149,55
150,55
151,55
152,55
153,55
154,55
155,55
156,55
157,47
158,47
159,55
160,55
161,55
162,63
163,63
164,63
165,63
166,63
167,71
168,79
169,63
170,63
171,55
172,63
173,55
174,47
175,63
176,63
177,63
178,63
179,63
180,71
181,71
182,79
183,94
184,94
185,94
186,110
187,110
188,118
189,118
190,118
191,126
192,134
193,134
194,134
195,134
196,141
197,134
198,134
199,126
200,134
201,141
202,141
203,134
204,134
205,134
206,134
207,134
208,126
209,141
210,149
211,149
212,149
213,149
214,157
215,165
216,165
217,157
218,173
219,180
220,180
221,180
222,188
223,188
224,180
225,188
226,180
227,204
228,196
229,204
230,188
231,188
232,180
233,180
234,180
235,180
236,188
237,188
238,188
239,173
240,165
241,165
242,157
243,149
244,149
245,141
246,134
247,126
248,126
249,134
250,134
251,126
252,118
253,126
254,118
255,118
256,110
257,110
258,94
259,94
260,94
261,87
262,87
263,87
264,87
265,79
266,71
267,71
268,63
269,63
270,63
271,55
272,63
273,55
274,55
275,47
276,47
277,47
278,47
279,40
280,40
281,32
282,32
283,32
284,32
285,32
286,32
287,32
288,32
289,24
290,24
291,24
292,24
293,16
294,24
295,16
296,16
297,1
298,8
299,-7
300,-7
301,-7
302,-15
303,-23
304,-7
305,-7
306,-7
307,-7
308,-7
309,1
310,-7
311,1
312,-15
313,-7
314,-7
315,-15
316,-23
317,-7
318,-23
319,-15
320,-23
321,-31
322,-31
323,-31
324,-31
325,-31
326,-31
327,-31
328,-31
329,-39
330,-23
331,-23
332,-23
333,-31
334,-31
335,-31
336,-31
337,-39
338,-31
339,-39
340,-39
341,-39
342,-39
343,-39
344,-39
345,-39
346,-39
347,-39
348,-39
349,-39
350,-39
351,-46
352,-46
353,-54
354,-46
355,-46
356,-39
357,-46
358,-46
359,-54
360,-46
361,-46
362,-54
363,-54
364,-54
365,-62
366,-62
367,-62
368,-62
369,-54
370,-54
371,-54
372,-62
373,-54
374,-46
375,-62
376,-54
377,-62
378,-62
379,-62
380,-62
381,-62
382,-78
383,-93
384,-101
385,-101
386,-101
387,-117
388,-101
389,-117
390,-125
391,-117
392,-125
393,-132
394,-132
395,-132
396,-132
397,-140
398,-132
399,-132
400,-132
401,-132
402,-132
403,-140
404,-132
405,-132
406,-125
407,-125
408,-132
409,-132
410,-132
411,-132
412,-140
413,-148
414,-148
415,-164
416,-148
417,-156
418,-156
419,-156
420,-164
421,-171
422,-171
423,-164
424,-164
425,-179
426,-179
427,-179
428,-187
429,-187
430,-187
431,-164
432,-164
433,-164
434,-156
435,-164
436,-171
437,-171
438,-171
439,-164
440,-156
441,-156
442,-148
443,-140
444,-132
445,-132
446,-132
447,-125
448,-132
449,-132
450,-117
451,-117
452,-125
453,-125
454,-125
455,-117
456,-109
457,-101
458,-101
459,-101
460,-93
461,-85
462,-93
463,-93
464,-85
465,-78
466,-70
467,-62
468,-62
469,-62
470,-62
471,-54
472,-39
473,-39
474,-46
475,-39
476,-31
477,-31
478,-31
479,-31
480,-31
481,-31
482,-31
483,-23
484,-23
485,-23
486,-7
487,-15
488,-23
489,-15
490,-15
491,-7
492,-7
493,-23
494,-7
495,-7
496,-7
497,1
498,1
499,16
500,16
501,24
502,24
503,16
504,16
505,24
506,8
507,8
508,8
509,24
510,16
511,16
512,16
513,16
514,24
515,24
516,24
517,24
518,24
519,32
520,32
521,32
522,32
523,32
524,32
525,24
526,32
527,40
528,24
529,24
530,32
531,24
532,40
533,24
534,24
535,32
536,32
537,40
538,47
539,47
540,47
541,40
542,47
543,40
544,40
545,55
546,47
547,47
548,47
549,47
550,47
551,55
552,55
553,55
554,55
555,55
556,55
557,55
558,47
559,55
560,63
561,55
562,55
563,63
564,63
565,63
566,71
567,71
568,71
569,63
570,63
571,55
572,55
573,55
574,55
575,63
576,55
577,55
578,71
579,63
580,71
581,71
582,87
583,94
584,94
585,110
586,110
587,118
588,118
589,118
590,118
591,126
592,134
593,134
594,126
595,141
596,134
597,134
598,141
599,134
600,134
601,141
602,141
603,126
604,134
605,134
606,141
607,134
608,141
609,149
610,149
611,149
612,149
613,149
614,149
615,157
616,157
617,165
618,165
619,180
620,180
621,188
622,180
623,188
624,188
625,196
626,188
627,196
628,188
629,188
630,188
631,180
632,180
633,173
634,180
635,180
636,188
637,188
638,180
639,180
640,165
641,157
642,141
643,149
644,141
645,141
646,126
647,126
648,126
649,141
650,126
651,118
652,126
653,126
654,118
655,118
656,118
657,110
658,102
659,102
660,94
661,94
662,94
663,87
664,87
665,87
666,79
667,71
668,79
669,87
670,63
671,55
672,63
673,55
674,55
675,55
676,47
677,47
678,40
679,40
680,32
681,40
682,32
683,32
684,32
685,32
686,32
687,24
688,24
689,32
690,24
691,24
692,24
693,24
694,24
695,16
696,16
697,1
698,1
699,-7
700,-7
701,-15
702,-15
703,-7
704,-15
705,-7
706,-15
707,-7
708,-7
709,-7
710,-7
711,-7
712,-7
713,-7
714,-23
715,-15
716,-15
717,-15
718,-23
719,-23
720,-23
721,-39
722,-31
723,-39
724,-31
725,-39
726,-31
727,-31
728,-23
729,-23
730,-15
731,-31
732,-31
733,-31
734,-23
735,-31
736,-31
737,-23
738,-39
739,-39
740,-39
741,-31
742,-39
743,-46
744,-39
745,-39
746,-46
747,-46
748,-46
749,-46
750,-46
751,-46
752,-46
753,-39
754,-39
755,-54
756,-54
757,-54
758,-39
759,-46
760,-62
761,-54
762,-54
763,-54
764,-54
765,-62
766,-62
767,-62
768,-62
769,-54
770,-54
771,-54
772,-54
773,-46
774,-54
775,-54
776,-54
777,-62
778,-62
779,-62
780,-70
781,-62
782,-70
783,-85
784,-101
785,-101
786,-117
787,-101
788,-117
789,-125
790,-125
791,-125
792,-132
793,-125
794,-132
795,-132
796,-140
797,-132
798,-132
799,-132
800,-132
801,-132
802,-132
803,-132
804,-132
805,-132
806,-132
807,-132
808,-132
809,-132
810,-140
811,-148
812,-132
813,-148
814,-148
815,-148
816,-148
817,-156
818,-156
819,-164
820,-156
821,-164
822,-171
823,-171
824,-179
825,-187
826,-187
827,-187
828,-187
829,-187
830,-179
831,-164
832,-164
833,-164
834,-164
835,-179
836,-171
837,-179
838,-171
839,-164
840,-164
841,-156
842,-140
843,-140
844,-140
845,-125
846,-132
847,-125
848,-125
849,-125
850,-125
851,-132
852,-125
853,-125
854,-117
855,-117
856,-109
857,-109
858,-93
859,-101
860,-85
861,-101
862,-93
863,-85
864,-85
865,-78
866,-70
867,-70
868,-62
869,-62
870,-54
871,-54
872,-39
873,-46
874,-31
875,-39
876,-39
877,-31
878,-31
879,-31
880,-31
881,-23
882,-31
883,-7
884,-15
885,-15
886,-15
887,-23
888,-15
889,-15
890,-15
891,-7
892,-7
893,-15
894,-7
895,-7
896,-7
897,1
898,1
899,16
900,24
901,24
902,24
903,16
904,16
905,16
906,24
907,16
908,16
909,24
910,16
911,16
912,16
913,24
914,24
915,24
916,24
917,24
918,24
919,32
920,24
921,24
922,40
923,40
924,32
925,40
926,32
927,32
928,32
929,24
930,24
931,24
932,32
933,24
934,32
935,32
936,32
937,32
938,47
939,47
940,47
941,47
942,47
943,40
944,55
945,47
946,47
947,55
948,47
949,55
950,55
951,55
952,55
953,55
954,55
955,55
956,55
957,55
958,55
959,55
960,55
961,55
962,63
963,55
964,63
965,71
966,63
967,71
968,63
969,63
970,79
971,63
972,55
973,63
974,55
975,63
976,63
977,63
978,63
979,63
980,63
981,71
982,87
983,87
984,87
985,102
986,118
987,118
988,126
989,118
990,126
991,126
992,126
993,134
994,126
995,141
996,141
997,134
998,126
999,134
1000,134
1001,141
1002,149
1003,141
1004,141
1005,134
1006,141
1007,141
1008,149
1009,134
1010,141
1011,149
1012,149
1013,141
1014,149
1015,157
1016,165
1017,157
1018,173
1019,180
1020,188
1021,180
1022,188
1023,188
1024,188
1025,196
1026,188
1027,212
1028,204
1029,188
1030,188
1031,180
1032,180
1033,180
1034,180
1035,180
1036,188
1037,188
1038,188
1039,180
1040,165
1041,157
1042,149
1043,141
1044,149
1045,141
1046,126
1047,134
1048,134
1049,134
1050,134
1051,126
1052,118
1053,134
1054,118
1055,118
1056,118
1057,110
1058,102
1059,102
1060,94
1061,102
1062,87
1063,87
1064,87
1065,87
1066,87
1067,63
1068,63
1069,63
1070,63
1071,55
1072,63
1073,55
1074,55
1075,47
1076,47
1077,47
1078,40
1079,32
1080,40
1081,32
1082,32
1083,32
1084,47
1085,32
1086,32
1087,32
1088,24
1089,24
1090,24
1091,24
1092,16
1093,16
1094,16
1095,8
1096,8
1097,1
1098,-7
1099,-7
1100,-15
1101,-15
1102,-15
1103,-7
1104,-15
1105,-7
1106,-7
1107,-7
1108,-7
1109,-7
1110,-7
1111,-7
1112,-7
1113,-7
1114,-7
1115,-15
1116,-23
1117,-15
1118,-23
1119,-23
1120,-23
1121,-31
1122,-31
1123,-31
1124,-31
1125,-31
1126,-39
1127,-31
1128,-31
1129,-31
1130,-23
1131,-31
1132,-23
1133,-23
1134,-31
1135,-31
1136,-31
1137,-39
1138,-39
1139,-39
1140,-46
1141,-39
1142,-39
1143,-39
1144,-39
1145,-39
1146,-39
1147,-39
1148,-39
1149,-39
1150,-46
1151,-46
1152,-46
1153,-46
1154,-39
1155,-46
1156,-46
1157,-39
1158,-46
1159,-39
1160,-46
1161,-46
1162,-54
1163,-54
1164,-62
1165,-62
1166,-62
1167,-62
1168,-62
1169,-62
1170,-54
1171,-46
1172,-54
1173,-54
1174,-46
1175,-54
1176,-62
1177,-62
1178,-62
1179,-62
1180,-62
1181,-70
1182,-70
1183,-101
1184,-101
1185,-101
1186,-109
1187,-109
1188,-117
1189,-109
1190,-125
1191,-125
1192,-132
1193,-125
1194,-132
1195,-132
1196,-132
1197,-132
1198,-132
1199,-132
1200,-132
1201,-132
1202,-132
1203,-125
1204,-132
1205,-132
1206,-132
1207,-132
1208,-132
1209,-132
1210,-132
1211,-132
1212,-148
1213,-148
1214,-156
1215,-156
1216,-148
1217,-156
1218,-156
1219,-156
1220,-156
1221,-156
1222,-171
1223,-171
1224,-179
1225,-179
1226,-179
1227,-187
1228,-195
1229,-187
1230,-179
1231,-171
1232,-164
1233,-164
1234,-156
1235,-171
1236,-179
1237,-179
1238,-171
1239,-164
1240,-156
1241,-148
1242,-148
1243,-132
1244,-140
1245,-132
1246,-132
1247,-132
1248,-125
1249,-132
1250,-125
1251,-125
1252,-125
1253,-125
1254,-117
1255,-117
1256,-109
1257,-101
1258,-101
1259,-101
1260,-93
1261,-93
1262,-85
1263,-93
1264,-85
1265,-78
1266,-85
1267,-62
1268,-62
1269,-54
1270,-54
1271,-46
1272,-46
1273,-39
1274,-39
1275,-39
1276,-31
1277,-31
1278,-39
1279,-39
1280,-31
1281,-31
1282,-23
1283,-23
1284,-15
1285,-23
1286,-15
1287,-23
1288,-15
1289,-15
1290,-15
1291,-7
1292,-7
1293,-7
1294,-7
1295,1
1296,-7
1297,1
1298,16
1299,16
1300,16
1301,24
1302,16
1303,24
1304,24
1305,16
1306,24
1307,8
1308,16
1309,16
1310,16
1311,8
1312,16
1313,24
1314,24
1315,24
1316,24
1317,24
1318,24
1319,24
1320,32
1321,32
1322,32
1323,40
1324,47
1325,32
1326,32
1327,32
1328,32
1329,32
1330,24
1331,24
1332,32
1333,32
1334,32
1335,32
1336,32
1337,40
1338,47
1339,40
1340,40
1341,47
1342,47
1343,47
1344,47
1345,47
1346,47
1347,55
1348,47
1349,47
1350,55
1351,47
1352,47
1353,55
1354,55
1355,55
1356,55
1357,55
1358,55
1359,47
1360,55
1361,63
1362,63
1363,63
1364,63
1365,63
1366,63
1367,71
1368,63
1369,63
1370,63
1371,63
1372,63
1373,55
1374,63
1375,63
1376,55
1377,63
1378,63
1379,63
1380,63
1381,71
1382,79
1383,87
1384,110
1385,110
1386,110
1387,118
1388,110
1389,118
1390,118
1391,118
1392,126
1393,141
1394,126
1395,134
1396,141
1397,141
1398,141
1399,141
1400,126
1401,134
1402,134
1403,126
1404,134
1405,134
1406,126
1407,134
1408,141
1409,134
1410,141
1411,149
1412,149
1413,157
1414,157
1415,157
1416,157
1417,165
1418,165
1419,180
1420,180
1421,188
1422,188
1423,196
1424,188
1425,188
1426,196
1427,204
1428,196
1429,196
1430,188
1431,180
1432,173
1433,173
1434,180
1435,180
1436,188
1437,188
1438,180
1439,180
1440,165
1441,157
1442,149
1443,149
1444,149
1445,134
1446,126
1447,126
1448,126
1449,126
1450,126
1451,126
1452,126
1453,118
1454,118
1455,102
1456,118
1457,102
1458,102
1459,94
1460,94
1461,94
1462,94
1463,94
1464,87
1465,79
1466,79
1467,87
1468,63
1469,63
1470,63
1471,63
1472,55
1473,63
1474,55
1475,55
1476,47
1477,40
1478,47
1479,40
1480,47
1481,40
1482,32
1483,32
1484,32
1485,32
1486,32
1487,24
1488,24
1489,24
1490,24
1491,24
1492,24
1493,32
1494,16
1495,16
1496,24
1497,1
1498,-7
1499,-7
1500,-7
1501,-15
1502,-7
1503,-7
1504,-15
1505,-7
1506,-7
1507,-7
1508,-7
1509,-7
1510,-7
1511,-7
1512,-15
1513,-7
1514,-7
1515,-15
1516,-15
1517,-15
1518,-23
1519,-15
1520,-31
1521,-31
1522,-31
1523,-39
1524,-31
1525,-31
1526,-31
1527,-31
1528,-23
1529,-23
1530,-23
1531,-23
1532,-31
1533,-23
1534,-31
1535,-31
1536,-31
1537,-39
1538,-39
1539,-39
1540,-39
1541,-39
1542,-39
1543,-39
1544,-39
1545,-46
1546,-39
1547,-39
1548,-39
1549,-39
1550,-39
1551,-46
1552,-46
1553,-54
1554,-46
1555,-46
1556,-46
1557,-46
1558,-39
1559,-46
1560,-46
1561,-54
1562,-54
1563,-54
1564,-62
1565,-62
1566,-62
1567,-62
1568,-62
1569,-46
1570,-62
1571,-54
1572,-54
1573,-54
1574,-54
1575,-62
1576,-54
1577,-62
1578,-54
1579,-62
1580,-62
1581,-62
1582,-78
1583,-93
1584,-101
1585,-101
1586,-109
1587,-109
1588,-125
1589,-125
1590,-125
1591,-132
1592,-125
1593,-132
1594,-132
