battery,load,run_id,joint_accuracy_pct,mlp_accuracy_pct
100pct,busy,0,68.0,18.0
100pct,busy,1,60.0,20.0
100pct,busy,2,70.0,10.0
100pct,busy,3,60.0,18.0
100pct,busy,4,68.0,18.0
100pct,busy,5,64.0,12.0
100pct,busy,6,70.0,20.0
100pct,busy,7,62.0,12.0
100pct,busy,8,56.0,10.0
100pct,busy,9,60.0,14.0
100pct,busy,10,66.0,16.0
100pct,busy,11,74.0,14.0
100pct,busy,12,68.0,22.0
100pct,busy,13,62.0,22.0
100pct,busy,14,68.0,18.0
100pct,idle,0,70.0,14.0
100pct,idle,1,64.0,20.0
100pct,idle,2,60.0,18.0
100pct,idle,3,70.0,28.0
100pct,idle,4,60.0,18.0
100pct,idle,5,70.0,26.0
100pct,idle,6,74.0,18.0
100pct,idle,7,66.0,10.0
100pct,idle,8,62.0,18.0
100pct,idle,9,62.0,18.0
100pct,idle,10,70.0,18.0
100pct,idle,11,72.0,16.0
100pct,idle,12,82.0,14.0
100pct,idle,13,60.0,14.0
100pct,idle,14,60.0,14.0
30pct,busy,0,68.0,18.0
30pct,busy,1,58.0,18.0
30pct,busy,2,52.0,14.0
30pct,busy,3,64.0,30.0
30pct,busy,4,52.0,14.0
30pct,busy,5,68.0,18.0
30pct,busy,6,72.0,18.0
30pct,busy,7,60.0,18.0
30pct,busy,8,64.0,10.0
30pct,busy,9,64.0,20.0
30pct,busy,10,58.0,10.0
30pct,busy,11,66.0,18.0
30pct,busy,12,66.0,16.0
30pct,busy,13,64.0,8.0
30pct,busy,14,66.0,26.0
30pct,idle,0,72.0,8.0
30pct,idle,1,76.0,10.0
30pct,idle,2,68.0,24.0
30pct,idle,3,78.0,26.0
30pct,idle,4,66.0,12.0
30pct,idle,5,52.0,10.0
30pct,idle,6,58.0,4.0
30pct,idle,7,60.0,18.0
30pct,idle,8,74.0,10.0
30pct,idle,9,62.0,24.0
30pct,idle,10,56.0,18.0
30pct,idle,11,62.0,12.0
30pct,idle,12,64.0,16.0
30pct,idle,13,78.0,18.0
30pct,idle,14,64.0,10.0
3pct,busy,0,66.0,12.0
3pct,busy,1,76.0,14.0
3pct,busy,2,60.0,10.0
3pct,busy,3,58.0,18.0
3pct,busy,4,66.0,24.0
3pct,busy,5,64.0,28.0
3pct,busy,6,72.0,18.0
3pct,busy,7,76.0,22.0
3pct,busy,8,70.0,14.0
3pct,busy,9,62.0,14.0
3pct,busy,10,78.0,20.0
3pct,busy,11,70.0,16.0
3pct,busy,12,74.0,18.0
3pct,busy,13,70.0,18.0
3pct,busy,14,72.0,14.0
3pct,idle,0,72.0,20.0
3pct,idle,1,64.0,10.0
3pct,idle,2,68.0,16.0
3pct,idle,3,58.0,10.0
3pct,idle,4,64.0,16.0
3pct,idle,5,60.0,14.0
3pct,idle,6,62.0,20.0
3pct,idle,7,64.0,16.0
3pct,idle,8,58.0,20.0
3pct,idle,9,74.0,6.0
3pct,idle,10,70.0,16.0
3pct,idle,11,62.0,20.0
3pct,idle,12,62.0,18.0
3pct,idle,13,62.0,20.0
3pct,idle,14,66.0,16.0
70pct,busy,0,74.0,26.0
70pct,busy,1,64.0,16.0
70pct,busy,2,66.0,22.0
70pct,busy,3,60.0,12.0
70pct,busy,4,58.0,14.0
70pct,busy,5,72.0,22.0
70pct,busy,6,74.0,22.0
70pct,busy,7,72.0,22.0
70pct,busy,8,58.0,20.0
70pct,busy,9,64.0,10.0
70pct,busy,10,68.0,16.0
70pct,busy,11,68.0,12.0
70pct,busy,12,74.0,18.0
70pct,busy,13,72.0,12.0
70pct,busy,14,60.0,16.0
70pct,idle,0,70.0,26.0
70pct,idle,1,52.0,12.0
70pct,idle,2,66.0,30.0
70pct,idle,3,72.0,18.0
70pct,idle,4,58.0,10.0
70pct,idle,5,68.0,16.0
70pct,idle,6,68.0,18.0
70pct,idle,7,62.0,20.0
70pct,idle,8,60.0,20.0
70pct,idle,9,54.0,16.0
70pct,idle,10,66.0,18.0
70pct,idle,11,74.0,18.0
70pct,idle,12,64.0,28.0
70pct,idle,13,62.0,12.0
70pct,idle,14,54.0,16.0
