Battery,Load,Accuracy
100%,Busy,68.0
100%,Busy,60.0
100%,Busy,70.0
100%,Busy,60.0
100%,Busy,68.0
100%,Busy,64.0
100%,Busy,70.0
100%,Busy,62.0
100%,Busy,56.00000000000001
100%,Busy,60.0
100%,Busy,66.0
100%,Busy,74.0
100%,Busy,68.0
100%,Busy,62.0
100%,Busy,68.0
100%,Idle,70.0
100%,Idle,64.0
100%,Idle,60.0
100%,Idle,70.0
100%,Idle,60.0
100%,Idle,70.0
100%,Idle,74.0
100%,Idle,66.0
100%,Idle,62.0
100%,Idle,62.0
100%,Idle,70.0
100%,Idle,72.0
100%,Idle,82.0
100%,Idle,60.0
100%,Idle,60.0
30%,Busy,68.0
30%,Busy,57.99999999999999
30%,Busy,52.0
30%,Busy,64.0
30%,Busy,52.0
30%,Busy,68.0
30%,Busy,72.0
30%,Busy,60.0
30%,Busy,64.0
30%,Busy,64.0
30%,Busy,57.99999999999999
30%,Busy,66.0
30%,Busy,66.0
30%,Busy,64.0
30%,Busy,66.0
30%,Idle,72.0
30%,Idle,76.0
30%,Idle,68.0
30%,Idle,78.0
30%,Idle,66.0
30%,Idle,52.0
30%,Idle,57.99999999999999
30%,Idle,60.0
30%,Idle,74.0
30%,Idle,62.0
30%,Idle,56.00000000000001
30%,Idle,62.0
30%,Idle,64.0
30%,Idle,78.0
30%,Idle,64.0
3%,Busy,66.0
3%,Busy,76.0
3%,Busy,60.0
3%,Busy,57.99999999999999
3%,Busy,66.0
3%,Busy,64.0
3%,Busy,72.0
3%,Busy,76.0
3%,Busy,70.0
3%,Busy,62.0
3%,Busy,78.0
3%,Busy,70.0
3%,Busy,74.0
3%,Busy,70.0
3%,Busy,72.0
3%,Idle,72.0
3%,Idle,64.0
3%,Idle,68.0
3%,Idle,57.99999999999999
3%,Idle,64.0
3%,Idle,60.0
3%,Idle,62.0
3%,Idle,64.0
3%,Idle,57.99999999999999
3%,Idle,74.0
3%,Idle,70.0
3%,Idle,62.0
3%,Idle,62.0
3%,Idle,62.0
3%,Idle,66.0
70%,Busy,74.0
70%,Busy,64.0
70%,Busy,66.0
70%,Busy,60.0
70%,Busy,57.99999999999999
70%,Busy,72.0
70%,Busy,74.0
70%,Busy,72.0
70%,Busy,57.99999999999999
70%,Busy,64.0
70%,Busy,68.0
70%,Busy,68.0
70%,Busy,74.0
70%,Busy,72.0
70%,Busy,60.0
70%,Idle,70.0
70%,Idle,52.0
70%,Idle,66.0
70%,Idle,72.0
70%,Idle,57.99999999999999
70%,Idle,68.0
70%,Idle,68.0
70%,Idle,62.0
70%,Idle,60.0
70%,Idle,54.0
70%,Idle,66.0
70%,Idle,74.0
70%,Idle,64.0
70%,Idle,62.0
70%,Idle,54.0
